Publication	taxa	pct of publications	pct of taxa
Repert. Bot. Syst.	24	8.38%	68.64%
Specchio Sci.	24	8.39%	68.67%
Suppl. Carp.	24	8.41%	68.71%
Bot. Beechey's Voyage	23	8.43%	68.75%
Fl. Bernsteins	23	8.44%	68.78%
Fl. Franç. ed.	23	8.46%	68.82%
Fl. Lusit. Brasil.	23	8.48%	68.85%
Führ. Pilzk.	23	8.49%	68.89%
Gen. Sp. Pl. Nov.	23	8.51%	68.92%
Handb. Paläobot.	23	8.52%	68.96%
Ill. Pl. Orient.	23	8.54%	68.99%
Mem. Amer. Acad. Arts ser.	23	8.56%	69.03%
Mém. Fam. Fougères	23	8.57%	69.07%
Nachtr. Fl. Deutsch. Schutzgeb. Südsee	23	8.59%	69.10%
Norweg. J. Bot.	23	8.60%	69.14%
Notizbl. Königl. Bot. Gart. Berlin	23	8.62%	69.17%
Orchidee (Hamburg)	23	8.64%	69.21%
Rev. Hort. ser.	23	8.65%	69.24%
Skr. Naturhist.-Selsk.	23	8.67%	69.28%
Sunyatsenia	23	8.69%	69.31%
Symb. Sin.	23	8.70%	69.35%
Trudy Geol. Komiteta ser.	23	8.72%	69.38%
Univ. Waterloo Biol. Ser.	23	8.73%	69.42%
Apocyn. South Amer.	22	8.75%	69.45%
Appendix	22	8.77%	69.49%
Bot. Mitt. Tropen	22	8.78%	69.52%
Brit. Phycol. J.	22	8.80%	69.55%
Bull. Acad. Imp. Sci. Saint-Pétersbourg	22	8.82%	69.59%
Collect. Mém. Ombellif.	22	8.83%	69.62%
Enum. Pl. Horti Berol.	22	8.85%	69.66%
Kongl. Vetensk. Acad. Nya Handl.	22	8.86%	69.69%
Mag. Encycl.	22	8.88%	69.72%
Monatsber. Königl. Preuss. Akad. Wiss. Berlin	22	8.90%	69.76%
Neue Entdeck. Pflanzenk.	22	8.91%	69.79%
Nouv. Matér. Fl. Atlantique	22	8.93%	69.83%
Nov. Stirp. Decades	22	8.95%	69.86%
Novit. Mycol. Novis. (Opera Bot. Cech.	22	8.96%	69.89%
Publ. Field Columbian Mus., Bot. Ser.	22	8.98%	69.93%
Saccardoa	22	8.99%	69.96%
Trudy Sibirsk. Nauchno-Issl. Inst. Geol. Geofiz. Mineral. Syr'ja	22	9.01%	70.00%
Wrightia	22	9.03%	70.03%
Bacillaria	21	9.04%	70.06%
Beitr. Kenntn. Foss. Bacill. Ungarns	21	9.06%	70.09%
Bull. Soc. Sci. Nancy ser.	21	9.07%	70.13%
Compt. Rend. Hebd. Séances Acad. Sci., Sér. D	21	9.09%	70.16%
Fl. Forest. Cochinchine ad t.	21	9.11%	70.19%
Gatt. Rhodophyc.	21	9.12%	70.22%
Gen. Sp. Pl. Foss.	21	9.14%	70.26%
Lotos	21	9.16%	70.29%
Lower Tert. Fl. South. England	21	9.17%	70.32%
Malayan Misc.	21	9.19%	70.35%
Manual Southeast. Fl.	21	9.20%	70.38%
Mém. Divers Savants Acad. Roy. Sci. Inst. Roy. France, Sci. Math.	21	9.22%	70.42%
Mem. Wern. Nat. Hist. Soc.	21	9.24%	70.45%
Mikol. & Fitopatol.	21	9.25%	70.48%
Mycopathologia	21	9.27%	70.51%
Not. Bot. Sapot.	21	9.29%	70.55%
Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur.	21	9.30%	70.58%
Nova Guinea	21	9.32%	70.61%
Paléontol. Franç. Foss.	21	9.33%	70.64%
Parerga Lichenol.	21	9.35%	70.68%
Phytopathol. Z.	21	9.37%	70.71%
Proc. Roy. Soc. Victoria	21	9.38%	70.74%
Rev. Int. Bot. Appl. Agric. Trop.	21	9.40%	70.77%
Tent. Fl. Abyss.	21	9.42%	70.80%
Trans. Roy. Soc. South Africa	21	9.43%	70.84%
Abh. Naturf. Ges. Halle	20	9.45%	70.87%
Actes Soc. Linn. Bordeaux	20	9.46%	70.90%
Ann. Bot. (London) ser.	20	9.48%	70.93%
Ann. Nat. Hist.	20	9.50%	70.96%
Biol. Práce Slov. Akad. Vied	20	9.51%	70.99%
Brotéria, Sér. Bot.	20	9.53%	71.02%
Bull. Min. Res. Explor. Inst. Turkey	20	9.54%	71.05%
Fl. Filip.	20	9.56%	71.08%
Fl. Ital.	20	9.58%	71.11%
Fl. Oware	20	9.59%	71.15%
Fl. Tert. Helv.	20	9.61%	71.18%
Geol. Beih.	20	9.63%	71.21%
Horae Phys. Berol.	20	9.64%	71.24%
Hortus Kew.	20	9.66%	71.27%
Illinois Biol. Monogr.	20	9.67%	71.30%
J. Bot. (Desvaux)	20	9.69%	71.33%
Kirkia	20	9.71%	71.36%
Nereis Brit. ed.	20	9.72%	71.39%
Notes Bot. Sapot.	20	9.74%	71.42%
Quart. J. Geol. Soc. London	20	9.76%	71.45%
Süsswasser-Fl. Deutschl.	20	9.77%	71.48%
Acta Bot. Yunnan.	19	9.79%	71.51%
Ann. Acad. Sci. Fenn., Ser. A	19	9.80%	71.54%
Ann. Bot. (Rome)	19	9.82%	71.57%
Arch. Bot. (Forlì)	19	9.84%	71.60%
Ark. Bot. ser.	19	9.85%	71.63%
Bull. Lab. Orto Bot. Reale Univ. Siena	19	9.87%	71.66%
Contr. Bot. India	19	9.88%	71.69%
Enum. Pl. Zeyl.	19	9.90%	71.72%
Feddes Repert. Spec. Nov. Regni Veg.	19	9.92%	71.75%
Fl. Brasil. Mer.	19	9.93%	71.78%
Fl. North Amer.	19	9.95%	71.81%
Fl. Scan.	19	9.97%	71.83%
Fl. Somala	19	9.98%	71.86%
Fortschr. Geol. Rheinl. Westfalen	19	10.00%	71.89%
Foss. Fl. Gr. Brit.	19	10.01%	71.92%
Geol. Mag.	19	10.03%	71.95%
Hist. & Commentat. Acad. Elect. Sci. Theod.-Palat.	19	10.05%	71.98%
Kies. Bacill. Diat.	19	10.06%	72.01%
Kongl. Vetensk. Acad. Handl.	19	10.08%	72.04%
Lloydia	19	10.10%	72.07%
Madroño	19	10.11%	72.10%
Mém. Acad. Roy. Sci. Lyon, Sect. Sci. ser.	19	10.13%	72.13%
Mus. Roy. Afrique Centrale, Ann. Ser.	19	10.14%	72.16%
Muscol. Recent. Suppl.	19	10.16%	72.19%
Name Succ.	19	10.18%	72.22%
Natuurk. Tijdschr. Ned.-Indië	19	10.19%	72.24%
New Phytol.	19	10.21%	72.27%
Nuova Notarisia	19	10.23%	72.30%
Palaeontogr. Ital. ser.	19	10.24%	72.33%
Pl. Jungh.	19	10.26%	72.36%
Rec. Observ.	19	10.27%	72.39%
Rep. Explor. Railroad Pacific Ocean	19	10.29%	72.42%
Rév. Gram.	19	10.31%	72.45%
Saxifrag. Enum. Revis. Pl. Succ.	19	10.32%	72.48%
Sukkulenty	19	10.34%	72.51%
Syn. Conif.	19	10.35%	72.54%
Voyage Bonite Bot. Atlas t.	19	10.37%	72.57%
Wiss. Ergebn. Schwed. Südpolar-Exped.	19	10.39%	72.60%
Acta Palaeontol. Sin.	18	10.40%	72.62%
Agrost. Brasil.	18	10.42%	72.65%
Arch. Mus. Hist. Nat.	18	10.44%	72.68%
Beskr. Guin. Pl.	18	10.45%	72.71%
Bot. Arch.	18	10.47%	72.73%
Caratt. Nuovi Gen. Spec. Sicilia	18	10.48%	72.76%
Cat. Pl. Cub.	18	10.50%	72.79%
Fl. Novae-Zelandiae	18	10.52%	72.82%
Hym. Europe	18	10.53%	72.84%
Indian Forester	18	10.55%	72.87%
Meth. Suppl.	18	10.57%	72.90%
Mycoscience	18	10.58%	72.93%
Nomencl. Fl. Ital.	18	10.60%	72.96%
Notas Mus. La Plata, Bot.	18	10.61%	72.98%
Novye Vidy Drevnih Rast. Bespozvonocnyh SSSR	18	10.63%	73.01%
Oekon.-Techn. Fl. Böhmens	18	10.65%	73.04%
Paleontol. Dokembr. Rann. Kembr.	18	10.66%	73.07%
Pflanzenwelt Ost-Afrikas C:	18	10.68%	73.09%
Proc. Calif. Acad. Sci. ser.	18	10.70%	73.12%
Proc. Ocean Drilling Program, Sci. Results	18	10.71%	73.15%
Prodr. Fl. Norfolk.	18	10.73%	73.18%
Publ. Carnegie Inst. Wash.	18	10.74%	73.20%
Sinensia	18	10.76%	73.23%
Sporenf. Aegirhoriz. Ruhr-Reviers (Diss., Tech. Hochsch., Berlin)	18	10.78%	73.26%
Torreya	18	10.79%	73.29%
Trans. & Proc. Bot. Soc. Edinburgh	18	10.81%	73.32%
Trans. & Proc. Roy. Soc. South Australia	18	10.82%	73.34%
U.S. Geol. Surv. Bull.	18	10.84%	73.37%
Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch.	18	10.86%	73.40%
Ann. Bot. Syst.	17	10.87%	73.43%
Ann. Mag. Nat. Hist.	17	10.89%	73.45%
Beitr. Biol. Pflanzen	17	10.91%	73.48%
Bjull. Moskovsk. Obsc. Isp. Prir., Otd. Biol.	17	10.92%	73.50%
Bot. Reg. t.	17	10.94%	73.53%
Bot. Voyage Sulphur	17	10.95%	73.56%
Bragantia	17	10.97%	73.58%
Bull. Calif. Acad. Sci.	17	10.99%	73.61%
Cat. Buitenzorg	17	11.00%	73.63%
Conspect. Syst. Corticiacearum	17	11.02%	73.66%
Diatoms	17	11.04%	73.69%
Diss.	17	11.05%	73.71%
Eclog. Geol. Helv.	17	11.07%	73.74%
Edwards's Bot. Reg. t.	17	11.08%	73.77%
Euphorb. Tent.	17	11.10%	73.79%
Eur. J. Phycol.	17	11.12%	73.82%
Fl. Atacama	17	11.13%	73.84%
Fl. Serres Jard. Eur.	17	11.15%	73.87%
Gentes Herb.	17	11.17%	73.90%
Hist. Filicum	17	11.18%	73.92%
Hist. Stirp. Helv.	17	11.20%	73.95%
Malvenfam.	17	11.21%	73.97%
Mar. Benth. Fl. S. Australia	17	11.23%	74.00%
Möller's Deutsche Gärtn.-Zeitung	17	11.25%	74.03%
Naturalientausch [12] (Beitr. Naturg. [1]):	17	11.26%	74.05%
Opera Varia	17	11.28%	74.08%
Pl. Brasil.	17	11.29%	74.11%
Pl. Jav. Rar.	17	11.31%	74.13%
Quaderno	17	11.33%	74.16%
Reinwardtia	17	11.34%	74.18%
Result. Sci. Congr. Int. Bot. Vienne	17	11.36%	74.21%
Rev. Hort.	17	11.38%	74.24%
Saggio Chili	17	11.39%	74.26%
Sketch Bot. S.-Carolina Georgia	17	11.41%	74.29%
Traité Zool.	17	11.42%	74.31%
Trans. Amer. Microscop. Soc.	17	11.44%	74.34%
Trudy Inst. Geol. Geochim. Uralsk. Nauchn. Centr. Akad. Nauk SSSR	17	11.46%	74.37%
Acta Univ. Lund.	16	11.47%	74.39%
Amer. Fern J.	16	11.49%	74.42%
Beitr. Mykol.	16	11.51%	74.44%
Brit. Desmid.	16	11.52%	74.47%
Brotéria, Sér. Ci. Nat.	16	11.54%	74.49%
Bull. Jard. Bot. Nat. Belgique	16	11.55%	74.52%
Bull. Mens. Soc. Linn. Soc. Bot. Lyon	16	11.57%	74.54%
Comp. Newslett.	16	11.59%	74.56%
Consp. Verruc.	16	11.60%	74.59%
Erythea	16	11.62%	74.61%
Farlowia	16	11.64%	74.64%
Fl. Antarctica	16	11.65%	74.66%
Fl. Austral.	16	11.67%	74.69%
Fl. German. Excurs.	16	11.68%	74.71%
Fl. Rocky Mountains	16	11.70%	74.74%
Fl. Vitiensis	16	11.72%	74.76%
Folia Orchid.	16	11.73%	74.79%
Fossil Plants	16	11.75%	74.81%
Ges. Naturf. Freunde Berlin Neue Schriften	16	11.76%	74.84%
Handb. New Zealand Fl.	16	11.78%	74.86%
Kryptogamenfl. Mark Brandenburg	16	11.80%	74.88%
Mezhd. Geol. Kongr., XXIII Sess., Dokl. Sovetsk. Geol., Probl.	16	11.81%	74.91%
Nova Gen.	16	11.83%	74.93%
Parasit. Algen Pilze Java	16	11.85%	74.96%
Proc. N. Amer. Paleontol. Conv. (Chicago	16	11.86%	74.98%
Queensland Geol. Surv. Publ.	16	11.88%	75.01%
Rev. Gen. Pl.	16	11.89%	75.03%
Trans. & Proc. New Zealand Inst.	16	11.91%	75.06%
Trudy Vsesojuzn. Naucno-Issl. Geol. Inst. ser.	16	11.93%	75.08%
Verh. Zool.-Bot. Ges. Wien	16	11.94%	75.11%
Vierteljahrsschr. Naturf. Ges. Zürich	16	11.96%	75.13%
Abh. Senckenberg. Naturf. Ges.	15	11.98%	75.15%
Acta Palaeobot.	15	11.99%	75.18%
Amen. Nat. Españas	15	12.01%	75.20%
Anz. Akad. Wiss. Wien, Math.-Naturwiss. Kl.	15	12.02%	75.22%
Biblioth. Mycol.	15	12.04%	75.25%
Bull. Acad. Roy. Sci. Bruxelles	15	12.06%	75.27%
Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg ser.	15	12.07%	75.29%
Bull. Geol. Soc. Amer.	15	12.09%	75.32%
Canad. J. Earth Sci.	15	12.11%	75.34%
Contr. Algol. Fungol.	15	12.12%	75.36%
Enum. Pl. Transsilv.	15	12.14%	75.38%
Essai Cyp.	15	12.15%	75.41%
Essai Taxon. Hym.	15	12.17%	75.43%
Ezheg. Vsesoyuzn. Paleontol. Obshch.	15	12.19%	75.45%
Fieldiana, Bot.	15	12.20%	75.48%
Fl. Rossica	15	12.22%	75.50%
Icon. Pl. Ind. Or.	15	12.23%	75.52%
Illinois State Geol. Surv. Bull.	15	12.25%	75.55%
Index Gen. Phan.	15	12.27%	75.57%
J. Fac. Sci. Univ. Tokyo, Sect.	15	12.28%	75.59%
Matér. Fl. Atlantique	15	12.30%	75.62%
Mém. Soc. Géol. France, Paléontol.	15	12.32%	75.64%
Natuur-Geneesk. Arch. Ned.-Indië	15	12.33%	75.66%
Neues J. Bot.	15	12.35%	75.69%
Neues Jahrb. Geol. Paläontol., Abh.	15	12.36%	75.71%
Nuev. Jen. Esp. Fl. Neogranad.	15	12.38%	75.73%
Nuytsia	15	12.40%	75.75%
On Cultivation Proteeae	15	12.41%	75.78%
Paleontol. Atlas Permsk. Otlozh. Pechorsk. Ugol'n. Bas.	15	12.43%	75.80%
Phycol. German.	15	12.45%	75.82%
Prael. Ord. Nat. ad	15	12.46%	75.85%
Proc. Roy. Soc. Victoria ser.	15	12.48%	75.87%
Quart. J. Geol. Mining Metallurg. Soc. India	15	12.49%	75.89%
Rech. Clim. Vég. Tert.	15	12.51%	75.92%
Rev. Bryol. Lichénol.	15	12.53%	75.94%
Rivista Period. Lav. Regia Accad. Sci., Padova	15	12.54%	75.96%
Selecta Fungorum Carpol.	15	12.56%	75.99%
Seznam Rostlin Kveteny Ceské	15	12.57%	76.01%
Syll. Algarum	15	12.59%	76.03%
Allg. Med.-Pharm. Fl.	14	12.61%	76.05%
Ann. École Natl. Agric. Montpellier	14	12.62%	76.07%
Ann. Hist.-Nat. Mus. Natl. Hung.	14	12.64%	76.10%
Annual Rep. New York State Mus.	14	12.66%	76.12%
Arch. Bot. (Leipzig)	14	12.67%	76.14%
Arch. Bot. (Paris)	14	12.69%	76.16%
Arq. Inst. Biol. Veg.	14	12.70%	76.18%
Ber. Thätigk. St. Gallischen Naturwiss. Ges.	14	12.72%	76.20%
Biblioth. Universelle Genève ser.	14	12.74%	76.23%
Bull. Acad. Int. Géogr. Bot.	14	12.75%	76.25%
Bull. Bot. Surv. India	14	12.77%	76.27%
Bull. Bot., Geneva	14	12.79%	76.29%
Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg	14	12.80%	76.31%
Bull. Natl. Sci. Mus.	14	12.82%	76.33%
Bull. Soc. Bot. France Mém.	14	12.83%	76.35%
Centralamer. Gesner.	14	12.85%	76.38%
Chloris Andina	14	12.87%	76.40%
Denkschr. Königl.-Baier. Bot. Ges. Regensburg	14	12.88%	76.42%
Enum. Pl. Javae	14	12.90%	76.44%
Fl. Indica ed.	14	12.92%	76.46%
Fl. Japonica	14	12.93%	76.48%
Fl. Peruv. Chil.	14	12.95%	76.51%
Fragm. Florist. Geobot.	14	12.96%	76.53%
Gen. Aroid.	14	12.98%	76.55%
Grana Palynol.	14	13.00%	76.57%
Hymenoph.	14	13.01%	76.59%
Izvestk. Vodorosli Ordovika Kazakhstana	14	13.03%	76.61%
J. Bromeliad Soc.	14	13.04%	76.63%
Karstenia	14	13.06%	76.66%
Mém. Acad. Imp. Sci. Saint-Pétersbourg	14	13.08%	76.68%
Mem. Nanjing Inst. Geol. Palaeontol.	14	13.09%	76.70%
Mem. Reale Accad. Sci. Torino	14	13.11%	76.72%
Mem. Reale Accad. Sci. Torino ser.	14	13.13%	76.74%
Monsunia	14	13.14%	76.76%
Novit. Mycol.	14	13.16%	76.79%
Oekon.-Techn. Fl. Wetterau	14	13.17%	76.81%
Orchideen	14	13.19%	76.83%
Proc. Roy. Hort. Soc. London	14	13.21%	76.85%
Proc. Roy. Soc. Queensland	14	13.22%	76.87%
Rozpr. Geol. Úst. Csl.	14	13.24%	76.89%
Saggio Chili ed.	14	13.26%	76.92%
Spicil. Fl. Rumel.	14	13.27%	76.94%
Spighe e Paglie	14	13.29%	76.96%
Syst. Lich.	14	13.30%	76.98%
Tijdschr. Natuurl. Gesch. Physiol.	14	13.32%	77.00%
Acta Pontif. Acad. Sci.	13	13.34%	77.02%
Anales Ci. Nat.	13	13.35%	77.04%
Ann. Bryol.	13	13.37%	77.06%
Beitr. Kryptogamenfl. Schweiz	13	13.39%	77.08%
Ber. Schweiz. Bot. Ges.	13	13.40%	77.10%
Biblioth. Diatomol.	13	13.42%	77.12%
Boissiera	13	13.43%	77.14%
Bol. Soc. Esp. Hist. Nat.	13	13.45%	77.16%
Boston J. Nat. Hist.	13	13.47%	77.18%
Bradea	13	13.48%	77.20%
Bull. Jap. Soc. Phycol.	13	13.50%	77.22%
Descript. Pl. Cap.	13	13.51%	77.24%
Disp.	13	13.53%	77.26%
Fl. Altaica	13	13.55%	77.28%
Fl. Eur.	13	13.56%	77.30%
Fl. Malay Penins.	13	13.58%	77.32%
Fragm. Florist. Geobot. Suppl.	13	13.60%	77.34%
Izv. Akad. Nauk SSSR, Ser. Geol.	13	13.61%	77.36%
J. Bombay Nat. Hist. Soc.	13	13.63%	77.38%
Kakteen Sukk.	13	13.64%	77.40%
Leafl. Philipp. Bot.	13	13.66%	77.42%
Naturalia Monspel., Sér. Bot.	13	13.68%	77.44%
Natuurk. Verh. Holl. Maatsch. Wetensch. Haarlem ser.	13	13.69%	77.46%
Off. Cat. Int. Exhib. Sidney	13	13.71%	77.48%
Proc. Kon. Ned. Akad. Wetensch., Ser. C.	13	13.73%	77.50%
Publ. Field Mus. Nat. Hist., Bot. Ser.	13	13.74%	77.52%
Reise	13	13.76%	77.54%
Rhodora	13	13.77%	77.56%
Sci. Surv. Porto Rico	13	13.79%	77.58%
Sertum Angl.	13	13.81%	77.60%
Sitzungsber. Bayer. Akad. Wiss. München	13	13.82%	77.62%
Stud. Biol. Acad. Sci. Hung.	13	13.84%	77.64%
Syst. Nat. [Candolle]	13	13.86%	77.66%
Thes. Cap.	13	13.87%	77.68%
Trudy Tomsk. Gosud. Univ. Kuibysheva, Ser. Geol.	13	13.89%	77.70%
Utkast Nat. Grupp. Eur. Bladmossor	13	13.90%	77.72%
Vega-Exped. Vetensk. Iakttagelser	13	13.92%	77.74%
Abh. Böhm. Ges. Wiss. ser.	12	13.94%	77.76%
Acta Horti Bot. Univ. Latv.	12	13.95%	77.78%
Anales Jard. Bot. Madrid	12	13.97%	77.80%
Ann. Bot. (Usteri)	12	13.98%	77.82%
Ann. K. K. Naturhist. Hofmus.	12	14.00%	77.83%
Ann. Paléontol.	12	14.02%	77.85%
Ann. Roy. Bot. Gard. (Peradeniya)	12	14.03%	77.87%
Ann. Wiener Mus. Naturgesch.	12	14.05%	77.89%
Argumenta Palaeobot.	12	14.07%	77.91%
Baileya	12	14.08%	77.93%
Bol. Soc. Bot. La Libertad	12	14.10%	77.95%
Bot. Repos.	12	14.11%	77.96%
Bull. Acad. Imp. Sci. Saint-Pétersbourg ser.	12	14.13%	77.98%
Bull. Sci. Nat. Géol.	12	14.15%	78.00%
Bull. Soc. Sci. Nat. Archéol. Toulon et Var	12	14.16%	78.02%
Caldasia	12	14.18%	78.04%
Cas. Nár. Muz., Rada Prír.	12	14.20%	78.06%
Coelomycetous Anamorphs with Appendage-Bearing Conidia	12	14.21%	78.07%
Edinburgh Philos. J.	12	14.23%	78.09%
Edwards's Bot. Reg. ad t.	12	14.24%	78.11%
Explor. Diagr. Austro-echinocact.	12	14.26%	78.13%
Fl. Atl.	12	14.28%	78.15%
Földt. Közl.	12	14.29%	78.17%
Geol. Center Res. Ser.	12	14.31%	78.19%
Gött. Gel. Anz.	12	14.33%	78.20%
Hist. Fossil Fruits Seeds London Clay	12	14.34%	78.22%
Hist. Vég. Isles Austr. Afrique	12	14.36%	78.24%
Initial Rep. Deep Sea Drilling Project	12	14.37%	78.26%
J. & Proc. Roy. Soc. Western Australia	12	14.39%	78.28%
J. Elisha Mitchell Sci. Soc.	12	14.41%	78.30%
J. Gen. Appl. Microbiol.	12	14.42%	78.31%
Mater. Osnov. Paleontol.	12	14.44%	78.33%
Mém. Cl. Sci. Math. Inst. Natl. France	12	14.45%	78.35%
Mém. Inst. Sci. Madagascar, Sér. B, Biol. Vég.	12	14.47%	78.37%
Mém. Soc. Hist. Nat. Paris	12	14.49%	78.39%
Mikropaleofitol. Issl. Drevnikh Svit	12	14.50%	78.41%
Oefvers. Förh. Finska Vetensk.-Soc.	12	14.52%	78.43%
Palaeoworld	12	14.54%	78.44%
Phycol. Res.	12	14.55%	78.46%
Phytopathology	12	14.57%	78.48%
Prim. Fl. Holsat.	12	14.58%	78.50%
Proc. Calif. Acad. Sci.	12	14.60%	78.52%
Proc. Natl. Acad. Sci. India, Sect. B, Biol. Sci.	12	14.62%	78.54%
Proc. U.S. Natl. Mus.	12	14.63%	78.55%
Prodr. Monogr. Lobel.	12	14.65%	78.57%
Rabenhorst's Kryptogamen-Fl. Deutschl.	12	14.67%	78.59%
Rep. U.S. Geol. Surv. Terr.	12	14.68%	78.61%
Rev. Acad. Madrid	12	14.70%	78.63%
Science	12	14.71%	78.65%
Syn. Hepat.	12	14.73%	78.67%
Tabulae Bot.	12	14.75%	78.68%
Trans. Hort. Soc. London	12	14.76%	78.70%
Treat. Diat.	12	14.78%	78.72%
U.S. Geol. Explor.	12	14.80%	78.74%
U.S. Geol. Surv. Prof. Pap.	12	14.81%	78.76%
Univ. Ibadan Bot. Stud.	12	14.83%	78.78%
Verh. Naturf. Vereins Brünn	12	14.84%	78.79%
Vorles. Churpfälz. Phys.-Ökon. Ges.	12	14.86%	78.81%
Voyage Inde	12	14.88%	78.83%
Znachen. Palinol. Anal. Stratigr. Paleofl.	12	14.89%	78.85%
Abh. Königl. Akad. Wiss. Berlin, Phys. Kl.	11	14.91%	78.87%
Acta Bot. Fenn.	11	14.92%	78.88%
Acta Helv. Phys.-Math.	11	14.94%	78.90%
Agron. Lusit.	11	14.96%	78.92%
Amer. J. Sci. Arts	11	14.97%	78.93%
Ann. Parasitol. Humaine Comp.	11	14.99%	78.95%
Annuaire Conserv. Jard. Bot. Genève	11	15.01%	78.97%
Biol. Zentralbl.	11	15.02%	78.99%
Bol. Soc. Bot. México	11	15.04%	79.00%
Bot. Gaz. (Crawfordsville)	11	15.05%	79.02%
Bot. Voyage Herald	11	15.07%	79.04%
Bot. Zap.	11	15.09%	79.05%
Bull. Fan Mem. Inst. Biol. Bot.	11	15.10%	79.07%
Bull. Mineral Res. Explor. Inst. Turkey	11	15.12%	79.09%
Bull. Soc. Imp. Naturalistes Moscou ser.	11	15.14%	79.10%
Cat. Pl. Gott.	11	15.15%	79.12%
Chlor. Melv.	11	15.17%	79.14%
Comment. Phytogr.	11	15.18%	79.16%
Contr. Gray Herb. ser.	11	15.20%	79.17%
Diss. Brev. Bot. Zool.	11	15.22%	79.19%
Enum. Filicum	11	15.23%	79.21%
Fam. Pl.	11	15.25%	79.22%
Filicum Sp.	11	15.26%	79.24%
Fl. Belg.	11	15.28%	79.26%
Fl. Miami	11	15.30%	79.27%
Fl. Pl. South Africa	11	15.31%	79.29%
Fl. Portug.	11	15.33%	79.31%
Fl. Seneg. Tent.	11	15.35%	79.32%
Forschungsber. Biol. Stat. Plön	11	15.36%	79.34%
Framm. Lich.	11	15.38%	79.36%
Friesia	11	15.39%	79.38%
Gen. ed.	11	15.41%	79.39%
Handb. Brit. Water-weeds	11	15.43%	79.41%
Herb. Raf.	11	15.44%	79.43%
Herzogia	11	15.46%	79.44%
Hist. Fis. Cuba	11	15.48%	79.46%
Indian Phytopathol.	11	15.49%	79.48%
Inst. ed.	11	15.51%	79.49%
J. Cincinnati Soc. Nat. Hist.	11	15.52%	79.51%
J. Quekett Microscop. Club ser.	11	15.54%	79.53%
J. Sen Memorial Vol. (Bot. Soc. Bengal)	11	15.56%	79.54%
Jahrb. Geol. B. A. (Wien) Sonderbd.	11	15.57%	79.56%
Jard. Fleur.	11	15.59%	79.58%
Jard. Malmaison ad t.	11	15.61%	79.60%
Kakteen Südamerika	11	15.62%	79.61%
Lunds Univ. Årsskr. N. F. Avd.	11	15.64%	79.63%
Madras J. Lit. Sci.	11	15.65%	79.65%
Mém. Inst. Roy. Sci. Nat. Belgique	11	15.67%	79.66%
Mém. Mus. Roy. Hist. Nat. Belgique	11	15.69%	79.68%
Mém. Soc. Belge Géol. ser.	11	15.70%	79.70%
Meth. Lich.	11	15.72%	79.71%
Mikrofoss. Dokembr. SSSR	11	15.73%	79.73%
Naturgesch. Eur. Leberm.	11	15.75%	79.75%
Notes New Miospore Gen. Permo-Carbon. China	11	15.77%	79.76%
Observ. Compos.	11	15.78%	79.78%
Oklahoma Geol. Surv. Circ.	11	15.80%	79.80%
Österr. Akad. Wiss., Math.-Naturwiss. Kl., Anz.	11	15.82%	79.82%
Pacific Sci.	11	15.83%	79.83%
Palaeofl. S. Africa, Prodr., Devon.	11	15.85%	79.85%
Paleontol. Sborn. (Lvov)	11	15.86%	79.87%
Pflanzen-Gatt.	11	15.88%	79.88%
Prim. Fl. Esseq.	11	15.90%	79.90%
Princ. Fond. Somiol.	11	15.91%	79.92%
Proc. Amer. Philos. Soc.	11	15.93%	79.93%
Publ. Inst. Micol. Univ. Pernambuco	11	15.95%	79.95%
Quart. J. Taiwan Mus.	11	15.96%	79.97%
Rendiconti Reale Ist. Lombardo Sci. ser.	11	15.98%	79.98%
Rozpr. Státního Geol. Ústavu Ceskoslov. Republ.	11	15.99%	80.00%
Sched. Crit.	11	16.01%	80.02%
Schriften Königl. Phys.-Ökon. Ges. Königsberg	11	16.03%	80.04%
Senckenbergiana	11	16.04%	80.05%
Siboga-Exped. Monogr.	11	16.06%	80.07%
Sida	11	16.08%	80.09%
Sist. Evol. Drevn. Rast. Ukrainy	11	16.09%	80.10%
Stockholm Contr. Geol.	11	16.11%	80.12%
Syn. Mitteleur. Fl.	11	16.12%	80.14%
Tabl. Règne Vég.	11	16.14%	80.15%
Voyage Bonite Bot. t.	11	16.16%	80.17%
Wiener Z. Kunst	11	16.17%	80.19%
Amaryll.	10	16.19%	80.20%
Amer. Orchid Soc. Bull.	10	16.20%	80.22%
Amtl. Ber. Versamml. Deutsch. Naturf. Aerzte	10	16.22%	80.23%
Ann. Bot. (König & Sims)	10	16.24%	80.25%
Ann. Bot. Mem.	10	16.25%	80.27%
Ann. Mus. Congo, Sér.	10	16.27%	80.28%
Atti Ist. Veneto Sci. ser.	10	16.29%	80.30%
Boll. Reale Orto Bot. Giardino Colon. Palermo	10	16.30%	80.31%
Bot. Mater. Med.	10	16.32%	80.33%
Bull. Herb. N.-E. Forest. Acad. [Harbin]	10	16.33%	80.34%
Bull. Soc. Linn. Normandie	10	16.35%	80.36%
Catalecta	10	16.37%	80.37%
Ceské Houby	10	16.38%	80.39%
